Id,English,Hindi
1,Aback,"पीछे की ओर, पीछे, चकित"
2,Abacus,गिनतारा
3,Abandoned,"उन्मुक्त, उच्छृंकल"
4,Abandon,"खाली करना, उन्माद, उन्मुक्तता, बेफ़िक्री, बहिष्कार करना, रोक देना, छोड़ देना, परित्याग करना, सौंप देना, स्वच्छन्दता"
5,Abandonment,"त्याग, परित्याग"
6,Abase,"अपमानित करना, नीचा दिखाना"
7,Abasement,"दुर्दशा, अधोगति, अपमान"
8,Abashed,"लज्जित, शर्मिंदा"
9,Abate,कम होना
10,Abatement,"मंदी, कमी, उपशमन, घटाव, कम होना"
11,Abbey,मठ
12,Abbot,मठाध्यक्ष
13,Abbreviate,संक्षिप्त करना
14,Abbreviation,"संक्षिप्त रूप, संक्षेपण"
15,Abdicate,"छोड़ देना, गद्दी छोड़ देना"
16,Abdication,राजत्याग
17,Abdomen,"उदर, उदर-गह्वर, पेट"
18,Abdominal,"औदरिक, उदरीय"
19,Abduct,अपहरण करना
20,Abduction,अपहरण
21,Aberdeen,ऐबरडीन
22,Aberrant,"पथभ्रष्ट, विपथगामी, विपथगामी"
23,Aberration,"बुद्धिभ्रंश, मतिभ्रंश, दृष्टि विपथन, असामान्यता, विपथता, पथांतरण, पथभ्रष्टता"
24,Abet,"उकसाना, बढ़ावा देना, सहयोग देना"
25,Abeyance,"प्रसुप्तावस्था, रुकाव"
26,Abhor,घृणा करना
27,Abhorrence,"जुगुप्सा, घृणित वस्तु, नफ़रत, घृणा"
28,Abhorrent,"घिनौना, का विरोधी, घृणित, घृणास्पद"
29,Abide by,"पालन करना, मान लेना"
30,Abide,"सहन करना, निवास करना, बरदाश्त करना"
31,Abiding,स्थायी
32,Big cheese,बहुत महत्वपूर्ण व्यक्ति
33,Big fish,बड़ी हस्ती
34,Big name,मशहूर व्यक्ति
35,Big noise,"महत्वपूर्ण व्यक्ति, प्रभावशाली व्यक्ति"
36,Big shot,मह्त्वपूर्ण व्यक्ति
37,Ability,"प्रतिभा, क्षमता, योग्यता"
38,Abject,"अधम, नीचतापूर्ण, दीन-हीन, नीच, भयानक, दयनीय"
39,Abjectly,दीन-हीन ढंग से
40,Abjuration,"शपथपूर्वक त्याग, प्रत्याहार"
41,Abjure,"अस्वीकार करना, औपचारिक रूप से त्याग करना"
42,Ablaze,लपटों में
43,Able bodied,"समर्थांग, तगड़ा"
44,Able,"प्रतिभाशाली, प्रतिभासंपन्न, समर्थ, निपुण, योग्य, समर्थ"
45,Able seaman,"समर्थांग नाविक, कुशल नाविक"
46,Ablution,प्रक्षालन
47,Ably,कुशलतापूर्वक
48,Abnegation,आत्मनिषेध
49,Abnormal,"असाधारण, अस्वाभाविक, असामान्य, विकृत, ख़राब"
50,Abnormality,"अनियमितता, सनकीपन, न्यूनमनस्कता, अपसामान्यता, असामन्यता"
51,Abnormally,"असाधारण रूप से, अस्वाभाविक ढंग से, असामान्य रूप से"
52,Aboard,"दल में, समूह में, के पास, सवार"
53,Abode,"डेरा, निवास-स्थान"
54,Abolish,"रद्द कर देना, मिटा देना, हटाना, उन्मूलन करना"
55,Abolition,"समापनअ, उन्मूलन"
56,Abolitionist,"दासता-विरोधी, उन्मूलनवादी"
57,Abominable,"घटिया, भद्दा, नृशंस, ख़राब, घृणित"
58,Abominable Snowman,हिममानव
59,Abominably,"बुरी तरह से, बेकार ढंग से"
60,Abominate,बहुत नफ़रत करना
61,Abomination,"जुगुप्साजनक कार्य, घृणित व्यक्ति, जुगुप्सा, नफ़रत, घृणास्पाद बात, घृणा"
62,Boon companion,जिगरी दोस्त
63,Aboriginal,"आदिकालीन, आदिम, ऑस्ट्रेलियाई आदिवासियों का, ऑस्ट्रेलियाई आदिवासी, आदिवासी"
64,Aborigine,"मूल निवासी, ऑस्ट्रेलियाई आदिवासी"
65,Abort,"गर्भ गिराना, अवर्धित होना, समापन, रद्द करना, गर्भपात कराना, गर्भपात होना, बंद कर देना"
66,Abortion,गर्भपात
67,Abortionist,गर्भपात करानेवाला
68,Abortive,"अधूरा, निष्फल, असफल"
69,Bounden duty,"अपरिहार्य कार्य, आवश्यक कर्तव्य"
70,Abound,"प्रचुर मात्रा में होना, फटा पड़ना, बहुत फैला होना, बहुतायत में होना, भारी मात्रा में होना"
71,About,"यहाँ-वहाँ, जहाँ-तहाँ, फैला हुआ, चलता-फिरता, चारौं तरफ़, क्रमानुसार, आस-पास, पास, लगभग, पीछे, जहाँ-तहाँ, इधर-उधर"
72,About time,बहुत समय
73,About turn,पूर्ण परिवर्तन
74,Above all,"सबसे पहले, ख़ास कर के"
75,Above,"उपर्युक्त, से ऊपर, ऊपर कहा हुआ, इससे ऊपर, के ऊपर, उपर्युक्त"
76,Aboveground,"भू-सतह का, भूमि के ऊपर का"
77,Above mentioned,"ऊपर उल्लिखित, उपर्युक्त"
78,Above yourself,बहुत ज्यादा विश्वास
